palavra,classe_gramatical,assunto,CM,letra
COLOMBIANO,ADJETIVO,NENHUM,cg63,C
COLORIDO,ADJETIVO,COR/FORMA,cg64,C
COLORIR,VERBO,NENHUM,cg20,C
COLUNA,SUBSTANTIVO,NENHUM,cg08b,C
COM LICENCA,SUBSTANTIVO,NENHUM,cg08b,C
COMA,SUBSTANTIVO,HIGIENE/SAÚDE,cg51a,C
COMANDAR,VERBO,NENHUM,cg14,C
COMBATER,VERBO,NENHUM,cg62,C
COMBINAR1,VERBO,NENHUM,cg14,C
COMBINAR2,VERBO,NENHUM,cg14,C
COMBUSTIVEL,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg11,C
COMECAR1,VERBO,NENHUM,cg53a,C
COMECAR2,VERBO,NENHUM,cg53a,C
COMEDIA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg19,C
COMEMORACAO,SUBSTANTIVO,NENHUM,cg40,C
COMEMORAR,VERBO,NENHUM,cg64,C
COMENTAR,VERBO,NENHUM,cg11,C
COMENTARISTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg02,C
COMER,VERBO,NENHUM,cg53a,C
COMERCIAL,SUBSTANTIVO,NENHUM,cg40,C
COMERCIO,SUBSTANTIVO,NENHUM,cg05,C
COMETA1,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg57,C
COMETA2,SUBSTANTIVO,NENHUM,cg51a,C
COMICO,ADJETIVO,NENHUM,cg19,C
COMIDA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg53a,C
COMIGO,PRONOME,NENHUM,cg08a,C
COMISSAO,SUBSTANTIVO,NENHUM,cg47,C
COMO1,CONJ. CONDICIONAL,NENHUM,cg51a,C
COMO2,ADV.,NENHUM,cg44,C
COMODA,SUBSTANTIVO,CASA,cg01,C
COMODISMO,SUBSTANTIVO,NENHUM,cg40,C
COMOVER,VERBO,NENHUM,cg42,C
COMPADECER,VERBO,NENHUM,cg35a,C
COMPAIXAO,SUBSTANTIVO,SENTIMENTOS,cg35a,C
COMPANHEIRO,SUBSTANTIVO,NENHUM,cg01,C
COMPANHIA1,SUBSTANTIVO,NENHUM,cg07,C
COMPANHIA2,SUBSTANTIVO,NENHUM,cg02,C
COMPARAR,VERBO,NENHUM,cg63,C
COMPARECER,VERBO,NENHUM,cg32,C
COMPASSO,SUBSTANTIVO,APARELHO/MÁQUINA,cg32,C
COMPENSACAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg62,C
COMPENSAR,VERBO,NENHUM,cg61,C
COMPETICAO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg14,C
COMPETIR,VERBO,NENHUM,cg14,C
COMPLETAR,VERBO,NENHUM,cg49,C
COMPLETO,ADJETIVO,NENHUM,cg49,C
COMPLICADO,ADJETIVO,NENHUM,cg64,C
COMPORTAR,VERBO,NENHUM,cg08a,C
COMPRAR1,VERBO,NENHUM,cg11,C
COMPREENDER,VERBO,NENHUM,cg49,C
COMPRIDO1,ADJETIVO,NENHUM,cg61,C
COMPRIDO2,ADJETIVO,CORPO,cg51b,C
COMPRIMIDO1,ADJETIVO,NENHUM,cg07,C
COMPRIMIDO2,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg49,C
COMPROMISSO,SUBSTANTIVO,NENHUM,cg14,C
COMPUTADOR,SUBSTANTIVO,APARELHO/MÁQUINA,cg15,C
COMUM1,ADJETIVO,NENHUM,cg01,C
COMUM2,ADJETIVO,NENHUM,cg28,C
COMUNGAR,VERBO,NENHUM,cg49,C
COMUNHAO,SUBSTANTIVO,NENHUM,cg49,C
COMUNICACAO,SUBSTANTIVO,NENHUM,cg51a,C
COMUNICAR,VERBO,NENHUM,cg51a,C
COMUNIDADE,SUBSTANTIVO,NENHUM,cg47,C
COMUNISTA,ADJETIVO,NENHUM,cg02,C
CONCENTRAR,VERBO,NENHUM,cg63,C
CONCHA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg53b,C
CONCLUIR,VERBO,NENHUM,cg33,C
CONCORDAR,VERBO,NENHUM,cg14,C
CONCORRENCIA,SUBSTANTIVO,NENHUM,cg14,C
CONCORRER,VERBO,NENHUM,cg14,C
CONCURSO1,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg62,C
CONCURSO2,SUBSTANTIVO,NENHUM,cg14,C
CONDICIONADOR,SUBSTANTIVO,NENHUM,cg51a,C
CONDOMINIO,SUBSTANTIVO,NENHUM,cg32,C
CONDUTA,SUBSTANTIVO,NENHUM,cg08a,C
CONFERENCIAR,VERBO,NENHUM,cg64,C
CONFERIR,VERBO,NENHUM,cg20,C
CONFESSAR,VERBO,NENHUM,cg58,C
CONFETE,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg57,C
CONFIANCA,SUBSTANTIVO,SENTIMENTOS,cg63,C
CONFIAR,VERBO,NENHUM,cg63,C
CONFIDENCIAL,ADJETIVO,NENHUM,cg51a,C
CONFIDENCIAL2,ADJETIVO,NENHUM,cg53a,C
CONFIRMAR,VERBO,NENHUM,cg49,C
CONFISCAR,VERBO,NENHUM,cg47,C
CONFISSAO,SUBSTANTIVO,NENHUM,cg42,C
CONFLITO2,SUBSTANTIVO,NENHUM,cg14,C
CONFORMAR,VERBO,NENHUM,cg47,C
CONFORTAR,VERBO,NENHUM,cg53a,C
CONFORTO,ADJETIVO,SENTIMENTOS,cg57,C
CONFRONTAR,VERBO,NENHUM,cg14,C
CONFUNDIR,VERBO,NENHUM,cg64,C
CONFUSAO1,SUBSTANTIVO,NENHUM,cg57,C
CONFUSAO2,SUBSTANTIVO,NENHUM,cg64,C
CONGELAR,VERBO,NENHUM,cg15,C
CONGESTIONAMENTO,SUBSTANTIVO,NENHUM,cg62,C
CONGREGACAO,SUBSTANTIVO,NENHUM,cg47,C
CONGRESSO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg51a,C
CONHECER,VERBO,NENHUM,cg58,C
CONHECIMENTO,SUBSTANTIVO,NENHUM,cg58,C
CONJUGE,SUBSTANTIVO,FAMÍLIA,cg52,C
CONOSCO,PRONOME,NENHUM,cg57,C
CONQUISTAR,VERBO,NENHUM,cg51b,C
CONSCIENCIA,SUBSTANTIVO,NENHUM,cg35b,C
CONSEGUIR,VERBO,NENHUM,cg08a,C
CONSELHEIRO,ADJETIVO,PROFISSÃO/TRABALHO,cg51a,C
CONSELHEIRO2,ADJETIVO,NENHUM,cg50,C
CONSELHO,SUBSTANTIVO,NENHUM,cg50,C
CONSERTAR,VERBO,NENHUM,cg14,C
CONSERVAR,VERBO,NENHUM,cg03,C
CONSOLAR,VERBO,NENHUM,cg63,C
CONSTITUICAO,SUBSTANTIVO,NENHUM,cg51a,C
CONSTRUCAO,SUBSTANTIVO,NENHUM,cg02,C
CONSTRUIR,SUBSTANTIVO,NENHUM,cg02,C
CONSULTAR,VERBO,NENHUM,cg14,C
CONTA,SUBSTANTIVO,NUMERAL/DINHEIRO,cg37a,C
CONTA CORRENTE,SUBSTANTIVO,NUMERAL/DINHEIRO,cg51a,C
CONTA-GOTAS,SUBSTANTIVO,HIGIENE/SAÚDE,cg20,C
CONTABILIDADE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg51a,C
CONTADOR2,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg39,C
CONTADOR3,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg49,C
CONTAMINADO,ADJETIVO,NENHUM,cg05,C
CONTAMINAR,VERBO,NENHUM,cg64,C
CONTAR1,VERBO,NENHUM,cg02,C
CONTAR2,VERBO,NENHUM,cg39,C
CONTAR3,VERBO,NENHUM,cg02,C
CONTATAR,VERBO,NENHUM,cg35a,C
CONTATO,SUBSTANTIVO,NENHUM,cg14,C
CONTENTE,ADJETIVO,NENHUM,cg32,C
CONTEXTO1,SUBSTANTIVO,NENHUM,cg14,C
CONTIGO,PRONOME,NENHUM,cg14,C
CONTINENCIA1,SUBSTANTIVO,NENHUM,cg07,C
CONTINENCIA2,SUBSTANTIVO,NENHUM,cg61,C
CONTINUAR,VERBO,NENHUM,cg32,C
CONTO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg32,C
CONTRA,PREP.,NENHUM,cg14,C
CONTRA-CHEQUE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg44,C
CONTRABANDO,SUBSTANTIVO,NENHUM,cg14,C
CONTRARIO,SUBSTANTIVO,NENHUM,cg14,C
CONTRATAR1,VERBO,NENHUM,cg55,C
CONTRATAR2,VERBO,NENHUM,cg02,C
CONTRATO,SUBSTANTIVO,NENHUM,cg55,C
CONTRIBUICAO,SUBSTANTIVO,NENHUM,cg62,C
CONTRIBUIR,VERBO,NENHUM,cg05,C
CONTROLE REMOTO,SUBSTANTIVO,APARELHO/MÁQUINA,cg01,C
CONVENCER1,VERBO,NENHUM,cg47,C
CONVENCIDO,ADJETIVO,NENHUM,cg07,C
CONVENIO,SUBSTANTIVO,NENHUM,cg15,C
CONVENTO,VERBO,NENHUM,cg62,C
CONVERSACAO,SUBSTANTIVO,NENHUM,cg62,C
CONVERSAO,SUBSTANTIVO,NENHUM,cg07,C
CONVERSAR,VERBO,NENHUM,cg62,C
CONVERTER,VERBO,NENHUM,cg07,C
CONVIDAR,VERBO,NENHUM,cg63,C
CONVITE,SUBSTANTIVO,NENHUM,cg63,C
COORDENADOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg51a,C
COPIAR,VERBO,NENHUM,cg57,C
COPO,SUBSTANTIVO,NENHUM,cg51a,C
COQUETEL,SUBSTANTIVO,ALIMENTO/BEBIDA,cg49,C
COR,SUBSTANTIVO,COR/FORMA,cg51a,C
CORACAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg62,C
CORAGEM,SUBSTANTIVO,SENTIMENTOS,cg57,C
CORAJOSO,ADJETIVO,NENHUM,cg57,C
CORAL,ADJETIVO,NENHUM,cg57,C
CORCOVADO,SUBSTANTIVO,NENHUM,cg63,C
CORCUNDA,ADJETIVO,CORPO,cg15,C
CORDA1,SUBSTANTIVO,NENHUM,cg55,C
CORDEIRO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg24,C
COREANO,ADJETIVO,NENHUM,cg53a,C
COREIA,SUBSTANTIVO,NENHUM,cg53a,C
CORNETA,SUBSTANTIVO,NENHUM,cg57,C
COROA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg18b,C
CORONEL,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg64,C
CORPO,SUBSTANTIVO,CORPO,cg14,C
CORREDOR,SUBSTANTIVO,CASA,cg63,C
CORREIO,SUBSTANTIVO,NENHUM,cg24,C
CORRENTE,SUBSTANTIVO,NENHUM,cg49,C
CORRENTEZA,ADJETIVO,PLANTA/FLOR/NATUREZA,cg64,C
CORRER1,VERBO,NENHUM,cg02,C
CORRER2,VERBO,NENHUM,cg02,C
CORRER3,VERBO,NENHUM,cg64,C
CORRERIA,SUBSTANTIVO,NENHUM,cg64,C
CORRESPONDER1,VERBO,NENHUM,cg14,C
CORRESPONDER2,VERBO,NENHUM,cg05,C
CORRETOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg05,C
CORRIDA,SUBSTANTIVO,NENHUM,cg07,C
CORRIGIR,VERBO,NENHUM,cg20,C
CORROMPER,VERBO,NENHUM,cg14,C
CORTAR1,VERBO,NENHUM,cg32,C
CORTAR2,VERBO,NENHUM,cg14,C
CORTAR3,VERBO,NENHUM,cg44,C
CORTES,ADJETIVO,NENHUM,cg08a,C
CORTINA,SUBSTANTIVO,CASA,cg58,C
CORUJA1,ADJETIVO,FAMÍLIA,cg40,C
CORUJA2,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg18a,C
COSMETICOS,SUBSTANTIVO,NENHUM,cg63,C
COSTA1,SUBSTANTIVO,CORPO,cg63,C
COSTA2,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg63,C
COSTELA,SUBSTANTIVO,CORPO,cg58,C
COSTELETA,SUBSTANTIVO,CORPO,cg21,C
COSTUME,SUBSTANTIVO,NENHUM,cg63,C
COSTURAR1,VERBO,NENHUM,cg55,C
COSTURAR2,VERBO,NENHUM,cg63,C
COSTUREIRA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63,C
COTONETE,SUBSTANTIVO,HIGIENE/SAÚDE,cg14,C
COTOVELADA,SUBSTANTIVO,NENHUM,cg02,C
COTOVELO1,SUBSTANTIVO,CORPO,cg14,C
COTOVELO2,SUBSTANTIVO,NENHUM,cg42,C
COURO,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg01,C
COVARDE,ADJETIVO,NENHUM,cg51a,C
COXA,SUBSTANTIVO,CORPO,cg63,C
COXEAR,VERBO,NENHUM,cg32,C
COXINHA DE GALINHA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg44,C
COZIDO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg47,C
COZINHA,SUBSTANTIVO,CASA,cg05,C
COZINHAR,VERBO,NENHUM,cg05,C
COZINHEIRA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg05,C
CRACHA,SUBSTANTIVO,NENHUM,cg22b,C
CRANIO,SUBSTANTIVO,CORPO,cg47,C
CRAVAR,VERBO,NENHUM,cg02,C
CRECHE,SUBSTANTIVO,NENHUM,cg51a,C
CREME,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg51a,C
CREME DENTAL,SUBSTANTIVO,HIGIENE/SAÚDE,cg05,C
CRENCA,SUBSTANTIVO,SENTIMENTOS,cg63,C
CRENTE,ADJETIVO,NENHUM,cg63,C
CREPUSCULO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg19,C
CRER,VERBO,NENHUM,cg63,C
CRESCER1,VERBO,NENHUM,cg63,C
CRESCER2,VERBO,NENHUM,cg64,C
CRESPO,ADJETIVO,NENHUM,cg46a,C
CRIAR1,VERBO,NENHUM,cg01,C
CRIAR2,VERBO,NENHUM,cg44,C
CRIAR3,VERBO,NENHUM,cg14,C
CRIAR4,VERBO,NENHUM,cg44,C
CRIME,SUBSTANTIVO,NENHUM,cg51a,C
CRITICAR,VERBO,NENHUM,cg11,C
CRUCIFICACAO,SUBSTANTIVO,NENHUM,cg63,C
CRUCIFICAR,VERBO,NENHUM,cg63,C
CRUZ,SUBSTANTIVO,NENHUM,cg14,C
CRUZAR1,VERBO,NENHUM,cg15,C
CRUZAR2,VERBO,NENHUM,cg32,C
CUBA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg51a,C
CUBA2,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg61,C
CUBANO,ADJETIVO,NENHUM,cg61,C
CUBO,SUBSTANTIVO,COR/FORMA,cg15,C
CUECA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg18a,C
CUIDADO,SUBSTANTIVO,NENHUM,cg64,C
CUIDADOSO,ADJETIVO,NENHUM,cg64,C
CUIDAR1,VERBO,NENHUM,cg63,C
CUIDAR2,VERBO,NENHUM,cg32,C
CULPA,VERBO,SENTIMENTOS,cg11,C
CULPADO,ADJETIVO,NENHUM,cg45,C
CULTO1,SUBSTANTIVO,NENHUM,cg51a,C
CULTO2,ADJETIVO,NENHUM,cg31,C
CULTURA1,SUBSTANTIVO,NENHUM,cg51a,C
CULTURA2,SUBSTANTIVO,NENHUM,cg31,C
CUMPRIMENTAR,VERBO,NENHUM,cg63,C
CUNHADO,SUBSTANTIVO,FAMÍLIA,cg51a,C
CUPIDO,SUBSTANTIVO,NENHUM,cg63,C
CUPIM,ADJETIVO,ANIMAL/INSETO/PEIXE/AVE,cg49,C
CUPUACU,SUBSTANTIVO,FRUTA,cg32,C
CURA,SUBSTANTIVO,HIGIENE/SAÚDE,cg02,C
CURAR,VERBO,NENHUM,cg02,C
CURIOSIDADE,SUBSTANTIVO,SENTIMENTOS,cg63,C
CURIOSO,ADJETIVO,NENHUM,cg63,C
CURITIBA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg51a,C
CURRICULO VITAE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg32,C
CURSO,SUBSTANTIVO,NENHUM,cg51a,C
CURTO,ADJETIVO,NENHUM,cg14,C
CURTO-CIRCUITO,SUBSTANTIVO,NENHUM,cg40,C
CURVA,SUBSTANTIVO,NENHUM,cg53b,C
CURVAR,VERBO,NENHUM,cg62,C
CUSPIR,VERBO,NENHUM,cg04,C
CUSTAR,VERBO,NENHUM,cg20,C
D,SUBSTANTIVO,NENHUM,cg12,D
DADO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg01,D
DAMA,SUBSTANTIVO,NENHUM,cg07,D
DAMAS,SUBSTANTIVO,NENHUM,cg63,D
DANADO,ADJETIVO,NENHUM,cg63,D
DANCA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg64,D
DANCAR1,VERBO,NENHUM,cg32,D
DANCAR2,VERBO,NENHUM,cg64,D
DANCARINA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg07,D
DANIFICAR,VERBO,NENHUM,cg02,D
DANO,SUBSTANTIVO,NENHUM,cg05,D
DAR,VERBO,NENHUM,cg64,D
DAR-NAO,LOC.VERB.,NENHUM,cg32,D
DAR2,VERBO,NENHUM,cg05,D
DARDO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg18a,D
DATA,SUBSTANTIVO,ANO SIDERAL,cg12,D
DATAR,VERBO,NENHUM,cg44,D
DATILOGRAFAR,VERBO,NENHUM,cg47,D
DATILOLOGIA,SUBSTANTIVO,NENHUM,cg47,D
DE REPENTE,LOC.ADV.,NENHUM,cg40,D
DEBAIXO,ADV.,NENHUM,cg63,D
DEBATE,SUBSTANTIVO,NENHUM,cg14,D
DEBATER,VERBO,NENHUM,cg14,D
DEBILITADA,ADJETIVO,NENHUM,cg44,D
DEBITAR,VERBO,NENHUM,cg53a,D
DEBITO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg53a,D
DEBOCHAR,VERBO,NENHUM,cg08a,D
DEBRUCAR,VERBO,NENHUM,cg01,D
DECAIR,VERBO,NENHUM,cg64,D
DECALOGO,SUBSTANTIVO,NENHUM,cg07,D
DECAPITAR,VERBO,NENHUM,cg63,D
DECENTE,ADJETIVO,NENHUM,cg49,D
DECEPAR,VERBO,NENHUM,cg62,D
DECEPCIONADO1,ADJETIVO,NENHUM,cg02,D
DECEPCIONADO2,ADJETIVO,NENHUM,cg33,D
DECEPCIONAR,VERBO,NENHUM,cg02,D
DECIDIR,VERBO,NENHUM,cg47,D
DECIFRAR,VERBO,NENHUM,cg32,D
DECISAO,SUBSTANTIVO,NENHUM,cg47,D
DECLARACAO1,SUBSTANTIVO,NENHUM,cg37a,D
DECLARACAO2,SUBSTANTIVO,NENHUM,cg12,D
DECLARAR,VERBO,NENHUM,cg40,D
DECLINACAO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg62,D
DECOLAR,VERBO,NENHUM,cg40,D
DECOMPOR,VERBO,NENHUM,cg01,D
DECORAR1,VERBO,NENHUM,cg35a,D
DECORAR2,VERBO,NENHUM,cg47,D
DECRETAR,VERBO,NENHUM,cg63,D
DECRETO,SUBSTANTIVO,NENHUM,cg06,D
DECURSO,SUBSTANTIVO,NENHUM,cg14,D
DEDAL,SUBSTANTIVO,NENHUM,cg14,D
DEDETIZACAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg05,D
DEDICAR,VERBO,NENHUM,cg63,D
DEDILHAR,VERBO,NENHUM,cg47,D
DEDO,SUBSTANTIVO,CORPO,cg14,D
DEDURAR,VERBO,NENHUM,cg40,D
DEDUZIR,VERBO,NENHUM,cg14,D
DEFECAR,VERBO,NENHUM,cg01,D
DEFEITO,SUBSTANTIVO,NENHUM,cg53a,D
DEFENDER1,VERBO,NENHUM,cg63,D
DEFENDER2,VERBO,NENHUM,cg02,D
DEFESA,SUBSTANTIVO,NENHUM,cg02,D
DEFICIENTE AUDITIVO,ADJETIVO,NENHUM,cg12,D
DEFICIENTE FISICO,ADJETIVO,NENHUM,cg01,D
DEFICIENTE MENTAL,ADJETIVO,NENHUM,cg60,D
DEFICIENTE VISUAL,ADJETIVO,NENHUM,cg32,D
DEFICIENTE1,ADJETIVO,NENHUM,cg12,D
DEFICIENTE2,ADJETIVO,CORPO,cg62,D
DEFINHAR,VERBO,NENHUM,cg02,D
DEFINIR,VERBO,NENHUM,cg47,D
DEFORMAR,VERBO,NENHUM,cg47,D
DEFRONTE,ADV.,NENHUM,cg62,D
DEFUNTO,ADJETIVO,CORPO,cg18a,D
DEGLUTIR,VERBO,NENHUM,cg14,D
DEGOLAR,VERBO,NENHUM,cg63,D
DEGRAU,SUBSTANTIVO,NENHUM,cg64,D
DEGUSTAR,VERBO,NENHUM,cg44,D
DEITAR1,VERBO,NENHUM,cg32,D
DEITAR2,VERBO,NENHUM,cg32,D
DEIXAR1,VERBO,NENHUM,cg44,D
DEIXAR2,VERBO,NENHUM,cg33,D
DEIXAR3,VERBO,NENHUM,cg33,D
DELATAR,VERBO,NENHUM,cg40,D
DELE,PRONOME,NENHUM,cg11,D
DELEGACIA DE POLICIA,SUBSTANTIVO,NENHUM,cg49,D
DELEGADO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg49,D
DELETAR,VERBO,NENHUM,cg01,D
DELICADO,ADJETIVO,NENHUM,cg54,D
DELICIA,SUBSTANTIVO,NENHUM,cg35a,D
DELINEADOR,SUBSTANTIVO,NENHUM,cg20,D
DELIRIO,SUBSTANTIVO,NENHUM,cg64,D
DEMITIR,VERBO,NENHUM,cg52,D
DEMOCRACIA,SUBSTANTIVO,NENHUM,cg33,D
DEMOLIR,VERBO,NENHUM,cg15,D
DEMONIO,SUBSTANTIVO,NENHUM,cg18a,D
DEMONSTRAR,VERBO,NENHUM,cg14,D
DEMORAR,VERBO,NENHUM,cg07,D
DENGOSO,ADJETIVO,NENHUM,cg07,D
DENGUE,SUBSTANTIVO,HIGIENE/SAÚDE,cg49,D
DENODAR,VERBO,NENHUM,cg05,D
DENOMINAR,VERBO,NENHUM,cg05,D
DENTADA,SUBSTANTIVO,NENHUM,cg47,D
DENTADURA,SUBSTANTIVO,NENHUM,cg18a,D
DENTE,SUBSTANTIVO,CORPO,cg15,D
DENTICAO,SUBSTANTIVO,CORPO,cg61,D
DENTISTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg40,D
DENTRO1,ADV.,NENHUM,cg44,D
DENTRO2,ADV.,NENHUM,cg53a,D
DENTRO3,ADV.,NENHUM,cg64,D
DENTUCO,ADJETIVO,CORPO,cg31,D
DENUNCIAR,VERBO,NENHUM,cg40,D
DEPENAR,VERBO,NENHUM,cg01,D
DEPENDENTE,ADJETIVO,FAMÍLIA,cg34,D
DEPENDER,VERBO,NENHUM,cg63,D
DEPILACAO,SUBSTANTIVO,HIGIENE/SAÚDE,cg63,D
DEPILAR,VERBO,NENHUM,cg63,D
DEPOIMENTO,SUBSTANTIVO,NENHUM,cg40,D
DEPOIS,ADV.,NENHUM,cg14,D
DEPOSITAR,VERBO,NENHUM,cg02,D
DEPRESSA,ADV.,NENHUM,cg51a,D
DEPRESSAO,SUBSTANTIVO,SENTIMENTOS,cg02,D
DEPRIMIDO,ADJETIVO,NENHUM,cg02,D
DEPUTADO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg12,D
DERRAMAR,VERBO,NENHUM,cg01,D
DERRAME,SUBSTANTIVO,HIGIENE/SAÚDE,cg53a,D
DERRAPAR,VERBO,NENHUM,cg31,D
DERRETER,VERBO,NENHUM,cg07,D
DERROTAR1,VERBO,ESPORTE/DIVERSÃO,cg23,D
DERROTAR2,VERBO,ESPORTE/DIVERSÃO,cg62,D
DERRUBAR,VERBO,NENHUM,cg64,D
DESABAFAR,VERBO,NENHUM,cg42,D
DESABAR,VERBO,NENHUM,cg64,D
DESABOTOAR,VERBO,NENHUM,cg05,D
DESABROCHAR,VERBO,NENHUM,cg42,D
DESAFIAR,VERBO,ESPORTE/DIVERSÃO,cg14,D
DESAFIO,VERBO,NENHUM,cg14,D
DESANIMADO,ADJETIVO,NENHUM,cg64,D
DESAPARECER,VERBO,NENHUM,cg47,D
DESCALCO,ADJETIVO,NENHUM,cg35a,D
DESCAMAR,VERBO,NENHUM,cg55,D
DESCANSAR,VERBO,NENHUM,cg63,D
DESCARGA,SUBSTANTIVO,HIGIENE/SAÚDE,cg47,D
DESCASCAR,VERBO,NENHUM,cg52,D
DESCENDENTE,ADJETIVO,FAMÍLIA,cg14,D
DESCER,VERBO,NENHUM,cg32,D
DESCOBRIR,VERBO,NENHUM,cg14,D
DESCONFIAR,VERBO,NENHUM,cg53a,D
DESCONGELAR,VERBO,NENHUM,cg01,D
DESCONHECIDO,ADJETIVO,NENHUM,cg07,D
DESCONTAR,VERBO,NENHUM,cg53a,D
DESCULPAR,VERBO,NENHUM,cg40,D
DESDENHAR,VERBO,NENHUM,cg44,D
DESEJAR1,VERBO,NENHUM,cg47,D
DESEJAR2,VERBO,NENHUM,cg14,D
DESEMPENHO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63,D
DESEMPREGADO,ADJETIVO,PROFISSÃO/TRABALHO,cg08a,D
DESEMPREGO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg08a,D
DESENCAMINHAR,VERBO,NENHUM,cg61,D
DESENCONTRAR,VERBO,NENHUM,cg14,D
DESENHAR,VERBO,NENHUM,cg27,D
DESENHISTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg27,D
DESENHO,SUBSTANTIVO,NENHUM,cg27,D
DESENTUPIDOR,SUBSTANTIVO,APARELHO/MÁQUINA,cg02,D
DESENTUPIR,VERBO,NENHUM,cg02,D
DESENVOLVER,VERBO,NENHUM,cg53a,D
DESERTO,ADJETIVO,PLANTA/FLOR/NATUREZA,cg08a,D
DESESPERADO,ADJETIVO,NENHUM,cg64,D
DESESPERAR,VERBO,NENHUM,cg64,D
DESFALECER,VERBO,NENHUM,cg61,D
DESFIAR,VERBO,NENHUM,cg42,D
DESFILAR,VERBO,NENHUM,cg27,D
DESFILE,SUBSTANTIVO,NENHUM,cg27,D
DESGASTAR,VERBO,NENHUM,cg35a,D
DESGOSTO,SUBSTANTIVO,SENTIMENTOS,cg02,D
DESIGNAR,VERBO,NENHUM,cg20,D
DESINIBIDO,ADJETIVO,NENHUM,cg27,D
DESISTIR,VERBO,NENHUM,cg44,D
DESLIGAR,VERBO,NENHUM,cg05,D
DESLIZAR,VERBO,NENHUM,cg11,D
DESMAIAR,VERBO,NENHUM,cg61,D
DESMONTAR,VERBO,NENHUM,cg52,D
DESOBEDECER,VERBO,NENHUM,cg07,D
DESODORANTE,SUBSTANTIVO,HIGIENE/SAÚDE,cg02,D
DESORDEM,SUBSTANTIVO,NENHUM,cg64,D
DESPEDIR1,VERBO,NENHUM,cg64,D
DESPEDIR2,VERBO,NENHUM,cg53a,D
DESPEJO,SUBSTANTIVO,NENHUM,cg53a,D
DESPERTADOR,SUBSTANTIVO,APARELHO/MÁQUINA,cg47,D
DESPERTAR,VERBO,ALIMENTO/BEBIDA,cg02,D
DESPIDO,SUBSTANTIVO,NENHUM,cg14,D
DESPORTO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg07,D
DESPREOCUPADO,ADJETIVO,NENHUM,cg27,D
DESPREZAR,VERBO,NENHUM,cg44,D
DESQUITAR,VERBO,NENHUM,cg53a,D
DESTINO,SUBSTANTIVO,NENHUM,cg63,D
DESTRO,ADJETIVO,CORPO,cg63,D
DESTRUIR1,VERBO,NENHUM,cg02,D
DESTRUIR2,VERBO,NENHUM,cg63,D
DESVALORIZAR,VERBO,NENHUM,cg64,D
DESVIAR,VERBO,NENHUM,cg61,D
