cg01,193
cg02,442
cg03,4
cg04,17
cg05,174
cg06,13
cg07,209
cg08a,181
cg08b,17
cg09,19
cg10,7
cg11,74
cg12,31
cg13,13
cg14,525
cg15,109
cg16,43
cg17,11
cg18a,105
cg18b,15
cg19,36
cg20,125
cg21,33
cg22a,4
cg22b,22
cg23,11
cg24,96
cg25,40
cg26,14
cg27,42
cg28,32
cg29a,6
cg29b,3
cg30,4
cg31,61
cg32,194
cg33,48
cg34,28
cg35a,51
cg35b,3
cg36,3
cg37a,31
cg37b,1
cg38,20
cg39,40
cg40,118
cg41,1
cg42,81
cg43,7
cg44,124
cg45,35
cg46a,40
cg46b,17
cg47,262
cg48,7
cg49,112
cg50,33
cg51a,89
cg51b,41
cg52,78
cg53a,170
cg53b,23
cg54,38
cg55,47
cg56,3
cg57,156
cg58,50
cg59a,18
cg60,13
cg61,115
cg62,140
cg63,473
cg64,295
