A,660
B,300
C,683
D,351
E,364
F,262
G,164
H,55
I,184
J,77
K,1
L,232
M,334
N,93
O,141
P,615
Q,81
R,286
S,272
T,266
U,39
V,241
W,1
X,14
Y,1
Z,19
